;y ; u
; 4.90 ; 0.00 
; 5.00 ; 32.22 
; 5.10 ; 45.91 
; 5.32 ; 78.12 
; 5.61 ; 115.97 
; 5.82 ; 144.16 
; 6.33 ; 192.48 
; 6.81 ; 224.70 
; 7.03 ; 233.56 
; 7.27 ; 236.78 
; 7.52 ; 237.58 
; 7.83 ; 232.75 
; 8.31 ; 210.20 
; 8.89 ; 170.74 
; 9.21 ; 137.72 
; 9.40 ; 112.75 
; 9.62 ; 84.56 
; 9.79 ; 56.38 
; 10.10 ; 0.00 
