; y ; u
; 0.00 ; 0.00 
; 0.33 ; -12.41 
; 0.63 ; -16.55 
; 0.96 ; -20.00 
; 1.23 ; -20.00 
; 1.56 ; -18.62 
; 2.04 ; -13.10 
; 2.44 ; -5.52 
; 2.67 ; -2.76 
; 2.87 ; 5.52 
; 3.38 ; 24.14 
; 3.83 ; 46.90 
; 4.38 ; 75.17 
; 4.89 ; 111.03 
; 5.39 ; 146.90 
; 5.89 ; 184.14 
; 6.40 ; 206.90 
; 6.90 ; 217.24 
; 7.36 ; 212.41 
; 7.91 ; 188.28 
; 8.46 ; 153.79 
; 8.99 ; 107.59 
; 9.29 ; 77.24 
; 9.60 ; 48.28 
; 10.10 ; 0.00 
