; y; u
; 0.00 ; 0.00 
; 0.17 ; -4.77 
; 0.44 ; -7.15 
; 0.64 ; -10.55 
; 1.07 ; -9.87 
; 1.51 ; -7.15 
; 2.44 ; 5.11 
; 2.96 ; 16.34 
; 3.48 ; 26.21 
; 3.97 ; 38.47 
; 4.46 ; 49.02 
; 4.96 ; 59.23 
; 5.48 ; 66.72 
; 5.97 ; 69.47 
; 6.44 ; 69.13 
; 7.01 ; 63.32 
; 7.91 ; 42.89 
; 8.44 ; 32.00 
; 8.73 ; 25.19 
; 8.99 ; 19.06 
; 9.45 ; 9.87 
; 9.74 ; 7.49 
; 10.10 ; 0.00 
