;y ; u
; 0.00 ; 0.00 
; 0.36 ; 28.01 
; 0.85 ; 55.27 
; 1.36 ; 83.28 
; 1.83 ; 109.02 
; 2.31 ; 135.52 
; 2.83 ; 155.96 
; 3.34 ; 169.59 
; 3.83 ; 174.89 
; 4.34 ; 168.08 
; 4.83 ; 155.96 
; 5.32 ; 133.25 
; 5.86 ; 105.99 
; 6.27 ; 69.65 
; 6.63 ; 46.18 
; 7.07 ; 24.98 
; 7.32 ; 14.39 
; 7.53 ; 8.33 
; 7.79 ; 3.03 
; 7.97 ; -3.79 
; 8.35 ; -12.11 
; 8.79 ; -15.14 
; 9.12 ; -15.14 
; 9.36 ; -14.39 
; 9.54 ; -12.11 
; 9.82 ; -8.33 
; 10.10 ; 0.00 
