T	Ref-test1a-s1	Ref-test1a-s2	Ref-test1b-s1	Ref-test1b-s2	Ref-test1c-s1	Ref-test1c-s2	Ref-test1d-s1	Ref-test1d-s2	Ref-test1e-s1	Ref-test1e-s2	Ref-test1f-s1	Ref-test1f-s2	Ref-test3-s1	Ref-test3-s2	Ref-test4-s1	Ref-test4-s2	Results-test1a-s1	Results-test1a-s2	Results-test1b-s1	Results-test1b-s2	Results-test1c-s1	Results-test1c-s2	Results-test1d-s1	Results-test1d-s2	Results-test1e-s1	Results-test1e-s2	Results-test1f-s1	Results-test1f-s2	Results-test3-s1	Results-test3-s2	Results-test4-s1	Results-test4-s2
19.0	306.5382	301.38235	306.3703	301.71265	306.58685	301.3004	306.59418	301.29373	306.4915	301.2937	306.4915	301.36404	306.9366	300.58444	306.93738	300.58182	306.496	301.244	306.385	301.422	306.6	301.245	306.609	301.256	306.583	301.199	306.473	301.229	307.052	302.482	307.053	302.478
20.0	306.78064	301.4484	306.59973	301.79425	306.83212	301.36273	306.8398	301.35577	306.73523	301.35574	306.73523	301.4302	307.21588	300.62354	307.2167	300.6208	306.732	301.291	306.624	301.476	306.845	301.292	306.854	301.303	306.828	301.244	306.718	301.276	307.336	302.585	307.337	302.581
21.0	307.01758	301.5141	306.82346	301.87524	307.0719	301.42477	307.07996	301.41754	306.97308	301.41748	306.97308	301.49603	307.49084	300.66327	307.49173	300.6604	306.963	301.337	306.859	301.529	307.085	301.338	307.094	301.349	307.068	301.289	306.957	301.322	307.615	302.687	307.616	302.683
22.0	307.24863	301.5794	307.041	301.95557	307.3058	301.48648	307.3142	301.47897	307.2055	301.47888	307.2055	301.5615	307.76135	300.7037	307.76227	300.7007	307.19	301.382	307.089	301.582	307.32	301.383	307.33	301.394	307.302	301.332	307.192	301.367	307.891	302.788	307.892	302.783
23.0	307.47482	301.6444	307.25345	302.0353	307.53485	301.5479	307.54364	301.54013	307.4328	301.54	307.4328	301.6266	308.0282	300.74478	308.02917	300.74167	307.412	301.426	307.315	301.633	307.55	301.427	307.561	301.439	307.533	301.375	307.422	301.411	308.162	302.887	308.164	302.883
24.0	307.69647	301.70905	307.46112	302.11453	307.75937	301.60907	307.76855	301.60104	307.65527	301.6009	307.65527	301.69135	308.29175	300.78653	308.29276	300.7833	307.629	301.47	307.536	301.684	307.777	301.471	307.787	301.483	307.759	301.417	307.647	301.455	308.431	302.986	308.432	302.981
25.0	307.9132	301.77338	307.6636	302.19308	307.979	301.66995	307.98856	301.66162	307.87323	301.66144	307.87323	301.7558	308.55173	300.82898	308.5528	300.82562	307.844	301.513	307.754	301.734	307.999	301.514	308.01	301.526	307.981	301.459	307.869	301.498	308.696	303.083	308.697	303.079
26.0	308.12585	301.83737	307.8618	302.27112	308.19455	301.73053	308.20447	301.72195	308.08688	301.72177	308.08688	301.81995	308.80887	300.8721	308.80994	300.86865	308.054	301.555	307.969	301.783	308.218	301.556	308.229	301.569	308.2	301.5	308.087	301.541	308.958	303.18	308.959	303.175
27.0	308.33463	301.90106	308.05588	302.34863	308.40622	301.7909	308.4165	301.78207	308.29642	301.78183	308.29642	301.88376	309.0633	300.9159	309.06442	300.9123	308.261	301.597	308.181	301.832	308.433	301.598	308.444	301.611	308.415	301.54	308.302	301.583	309.217	303.276	309.218	303.271
28.0	308.53915	301.96445	308.2455	302.42557	308.61368	301.85095	308.62436	301.84186	308.50208	301.8416	308.50208	301.94727	309.31488	300.96042	309.31604	300.9567	308.465	301.639	308.389	301.88	308.645	301.639	308.657	301.653	308.627	301.58	308.513	301.624	309.474	303.372	309.475	303.367
29.0	308.74014	302.02753	308.43137	302.50195	308.81763	301.91077	308.82864	301.90143	308.704	301.90115	308.704	302.0105	309.5641	301.0056	309.56528	301.00177	308.667	301.679	308.595	301.928	308.854	301.68	308.866	301.694	308.836	301.619	308.722	301.665	309.728	303.466	309.73	303.461
30.0	308.9377	302.0903	308.61365	302.57782	309.0182	301.9703	309.02957	301.9608	308.90234	301.96045	308.90234	302.0734	309.8111	301.05142	309.81232	301.0475	308.865	301.72	308.798	301.975	309.061	301.721	309.073	301.735	309.042	301.658	308.927	301.706	309.98	303.561	309.982	303.555
31.0	309.13156	302.15277	308.79196	302.65314	309.21503	302.0296	309.2268	302.01984	309.09726	302.01947	309.09726	302.13602	310.0557	301.09802	310.05698	301.09396	309.061	301.76	308.999	302.022	309.264	301.761	309.277	301.775	309.246	301.697	309.13	301.746	310.231	303.654	310.232	303.649
32.0	309.32224	302.21497	308.96692	302.72794	309.40875	302.08868	309.4209	302.07864	309.28885	302.07828	309.28885	302.19836	310.2983	301.14526	310.29962	301.14108	309.254	301.8	309.197	302.068	309.465	301.8	309.478	301.815	309.447	301.735	309.331	301.785	310.479	303.748	310.48	303.742
33.0	309.5099	302.2769	309.13867	302.80222	309.59946	302.1475	309.61197	302.13724	309.47723	302.13684	309.47723	302.2604	310.53906	301.19315	310.5404	301.18884	309.445	301.839	309.393	302.114	309.664	301.84	309.677	301.855	309.645	301.773	309.529	301.825	310.725	303.84	310.727	303.835
34.0	309.6942	302.33847	309.3069	302.87595	309.78683	302.20605	309.79974	302.1956	309.66254	302.19513	309.66254	302.32214	310.77777	301.24176	310.77914	301.23737	309.634	301.878	309.587	302.159	309.86	301.878	309.874	301.894	309.841	301.811	309.725	301.864	310.97	303.933	310.971	303.927
35.0	309.87506	302.39972	309.47144	302.94907	309.97083	302.2643	309.98407	302.25363	309.84485	302.25314	309.84485	302.3836	311.0144	301.29117	311.01584	301.28665	309.821	301.916	309.779	302.204	310.055	301.917	310.068	301.933	310.035	301.848	309.918	301.902	311.213	304.025	311.214	304.019
36.0	310.05365	302.46075	309.6336	303.0218	310.15256	302.3224	310.1662	302.3115	310.02423	302.31097	310.02423	302.44476	311.2497	301.34113	311.2512	301.33646	310.005	301.955	309.968	302.249	310.247	301.955	310.26	301.971	310.227	301.885	310.11	301.941	311.454	304.117	311.456	304.111
37.0	310.2296	302.52148	309.793	303.09402	310.3317	302.38022	310.3457	302.3691	310.20078	302.3686	310.20078	302.50565	311.48346	301.39166	311.485	301.3869	310.188	301.993	310.156	302.294	310.437	301.993	310.45	302.009	310.417	301.922	310.299	301.979	311.694	304.208	311.696	304.202
38.0	310.4026	302.58194	309.94925	303.16568	310.50787	302.4378	310.52228	302.4265	310.37457	302.42593	310.37457	302.56625	311.7155	301.44296	311.71704	301.43808	310.369	302.03	310.342	302.338	310.625	302.031	310.639	302.047	310.605	301.958	310.487	302.016	311.932	304.299	311.934	304.293
39.0	310.573	302.6421	310.10275	303.23688	310.6815	302.49515	310.69626	302.48364	310.5457	302.48303	310.5457	302.62656	311.94608	301.49487	311.94763	301.4899	310.548	302.068	310.526	302.381	310.811	302.068	310.825	302.085	310.791	301.994	310.673	302.054	312.169	304.39	312.172	304.384
40.0	310.74063	302.70197	310.25336	303.30753	310.85242	302.55225	310.86758	302.54053	310.71414	302.5399	310.71414	302.68658	312.17505	301.54752	312.17667	301.5424	310.725	302.105	310.709	302.425	310.995	302.105	311.009	302.122	310.975	302.03	310.857	302.091	312.405	304.481	312.407	304.475
41.0	310.9051	302.76144	310.40057	303.3775	311.02014	302.609	311.0357	302.5971	310.8801	302.59647	310.8801	302.7463	312.40228	301.60098	312.40393	301.59576	310.901	302.142	310.889	302.468	311.177	302.142	311.192	302.159	311.158	302.065	311.039	302.128	312.64	304.571	312.642	304.565
42.0	311.06705	302.82065	310.54523	303.447	311.1855	302.66556	311.20142	302.65347	311.0435	302.65277	311.0435	302.80576	312.6281	301.6551	312.6298	301.64975	311.074	302.178	311.069	302.511	311.358	302.178	311.373	302.196	311.338	302.1	311.22	302.165	312.873	304.661	312.876	304.655
43.0	311.22662	302.87958	310.68735	303.51596	311.3484	302.72183	311.36475	302.70956	311.20447	302.70883	311.20447	302.8649	312.8526	301.70987	312.8543	301.7044	311.247	302.215	311.246	302.554	311.537	302.215	311.552	302.232	311.517	302.136	311.398	302.201	313.106	304.751	313.108	304.745
44.0	311.38382	302.93817	310.82697	303.58444	311.509	302.77786	311.52573	302.7654	311.36304	302.76465	311.36304	302.92374	313.0758	301.7653	313.07758	301.75974	311.417	302.251	311.422	302.596	311.715	302.251	311.73	302.268	311.695	302.17	311.576	302.237	313.337	304.841	313.339	304.835
45.0	311.5387	302.9965	310.96417	303.65237	311.66733	302.83365	311.68445	302.82104	311.51923	302.82022	311.51923	302.9823	313.29776	301.82138	313.29953	301.8157	311.587	302.287	311.597	302.638	311.891	302.286	311.906	302.305	311.87	302.205	311.751	302.273	313.567	304.931	313.569	304.924
46.0	311.6913	303.05453	311.099	303.71985	311.8234	302.8892	311.8409	302.8764	311.67313	302.87558	311.67313	303.0406	313.51846	301.87808	313.52026	301.8723	311.754	302.322	311.77	302.68	312.065	302.322	312.08	302.34	312.045	302.239	311.926	302.309	313.796	305.02	313.798	305.014
