T	Ref-test1a-s1	Ref-test1a-s2	Ref-test1b-s1	Ref-test1b-s2	Ref-test1c-s1	Ref-test1c-s2	Ref-test1d-s1	Ref-test1d-s2	Ref-test1e-s1	Ref-test1e-s2	Ref-test1f-s1	Ref-test1f-s2	Ref-test3-s1	Ref-test3-s2	Ref-test4-s1	Ref-test4-s2	Results-test1a-s1	Results-test1a-s2	Results-test1b-s1	Results-test1b-s2	Results-test1c-s1	Results-test1c-s2	Results-test1d-s1	Results-test1d-s2	Results-test1e-s1	Results-test1e-s2	Results-test1f-s1	Results-test1f-s2	Results-test3-s1	Results-test3-s2	Results-test4-s1	Results-test4-s2
398.0	322.65656	310.2336	319.25433	310.37384	323.6314	310.24924	323.73416	310.2561	322.65967	310.24698	322.65967	310.23795	359.606	339.72873	359.60526	339.73996	333.697	308.905	334.616	310.411	334.76	308.838	334.773	308.866	334.688	308.628	334.509	308.906	363.053	331.89	363.082	331.893
399.0	322.6579	310.23587	319.2548	310.37485	323.6332	310.25204	323.73602	310.25894	322.66098	310.24982	322.66098	310.2402	359.67972	339.83557	359.67896	339.84692	333.715	308.915	334.635	310.423	334.778	308.848	334.791	308.876	334.706	308.638	334.527	308.916	363.138	331.955	363.167	331.958
400.0	322.65924	310.23813	319.25525	310.3759	323.635	310.2548	323.73785	310.26175	322.66226	310.25262	322.66226	310.24243	359.7532	339.94223	359.75238	339.9537	333.732	308.925	334.654	310.435	334.796	308.857	334.81	308.885	334.724	308.648	334.545	308.926	363.222	332.019	363.252	332.022
401.0	322.66055	310.24036	319.25568	310.3769	323.63678	310.25754	323.7397	310.26453	322.66354	310.2554	322.66354	310.24463	359.82642	340.0487	359.82556	340.06027	333.75	308.935	334.673	310.447	334.814	308.867	334.827	308.895	334.742	308.658	334.562	308.936	363.307	332.083	363.336	332.086
402.0	322.66183	310.24258	319.25613	310.37787	323.63852	310.26025	323.7415	310.2673	322.66483	310.25815	322.66483	310.2468	359.89935	340.15497	359.89844	340.1667	333.767	308.945	334.692	310.458	334.832	308.877	334.845	308.905	334.76	308.667	334.58	308.945	363.391	332.147	363.42	332.15
403.0	322.66312	310.24475	319.25656	310.37885	323.64023	310.26294	323.74323	310.27002	322.66605	310.26086	322.66605	310.24893	359.97205	340.26108	359.97107	340.2729	333.785	308.955	334.71	310.47	334.85	308.887	334.863	308.914	334.778	308.677	334.598	308.955	363.475	332.211	363.504	332.214
404.0	322.66437	310.24692	319.257	310.37982	323.64194	310.26556	323.745	310.2727	322.6673	310.26355	322.6673	310.25107	360.04446	340.36697	360.04343	340.3789	333.802	308.965	334.729	310.482	334.867	308.896	334.881	308.924	334.795	308.687	334.615	308.965	363.558	332.275	363.588	332.278
405.0	322.66562	310.24902	319.2574	310.38077	323.64362	310.2682	323.7467	310.2754	322.6685	310.26624	322.6685	310.25317	360.1166	340.4727	360.11554	340.4847	333.819	308.975	334.747	310.493	334.885	308.906	334.898	308.934	334.813	308.696	334.632	308.975	363.642	332.339	363.671	332.342
406.0	322.66684	310.25113	319.2578	310.38168	323.64526	310.27078	323.7484	310.278	322.66968	310.26886	322.66968	310.25525	360.1885	340.5782	360.18738	340.59036	333.836	308.985	334.766	310.505	334.902	308.916	334.916	308.943	334.83	308.706	334.65	308.985	363.725	332.402	363.754	332.406
407.0	322.66803	310.25323	319.2582	310.3826	323.6469	310.27335	323.7501	310.28064	322.67087	310.27145	322.67087	310.2573	360.26013	340.6835	360.25894	340.6958	333.853	308.994	334.784	310.516	334.92	308.925	334.933	308.953	334.848	308.715	334.667	308.995	363.808	332.466	363.837	332.47
408.0	322.66922	310.25528	319.2586	310.3835	323.64853	310.27588	323.75174	310.2832	322.67203	310.27405	322.67203	310.2593	360.33148	340.78864	360.33026	340.80103	333.87	309.004	334.803	310.528	334.937	308.935	334.951	308.962	334.865	308.725	334.684	309.005	363.891	332.53	363.92	332.533
409.0	322.6704	310.2573	319.259	310.3844	323.65012	310.2784	323.7534	310.28577	322.6732	310.27658	322.6732	310.26132	360.4026	340.8936	360.4013	340.9061	333.887	309.014	334.821	310.539	334.954	308.944	334.968	308.972	334.882	308.735	334.701	309.014	363.973	332.593	364.003	332.597
410.0	322.67157	310.2593	319.25937	310.38528	323.6517	310.28088	323.755	310.2883	322.67432	310.2791	322.67432	310.26328	360.47342	340.99832	360.4721	341.01096	333.903	309.024	334.839	310.551	334.972	308.954	334.985	308.981	334.899	308.744	334.718	309.024	364.056	332.657	364.085	332.66
411.0	322.6727	310.2613	319.25974	310.38614	323.65326	310.28333	323.7566	310.2908	322.6754	310.28162	322.6754	310.26523	360.544	341.10287	360.54263	341.1156	333.92	309.033	334.857	310.562	334.989	308.963	335.002	308.991	334.916	308.753	334.735	309.034	364.138	332.72	364.168	332.724
412.0	322.67383	310.26328	319.2601	310.387	323.6548	310.28577	323.75818	310.29327	322.6765	310.28406	322.6765	310.26718	360.61432	341.2072	360.61288	341.22006	333.936	309.043	334.875	310.573	335.006	308.973	335.019	309	334.933	308.763	334.751	309.043	364.22	332.784	364.25	332.787
413.0	322.67496	310.2652	319.26047	310.38785	323.65628	310.28818	323.75974	310.29572	322.67758	310.2865	322.67758	310.26907	360.6844	341.31137	360.6829	341.32434	333.953	309.053	334.892	310.585	335.022	308.982	335.036	309.01	334.95	308.772	334.768	309.053	364.302	332.847	364.332	332.851
414.0	322.67603	310.26712	319.26083	310.38867	323.65778	310.29053	323.76126	310.29813	322.67865	310.2889	322.67865	310.27097	360.75418	341.41534	360.75266	341.4284	333.969	309.062	334.91	310.596	335.039	308.992	335.052	309.019	334.966	308.782	334.785	309.063	364.384	332.91	364.413	332.914
415.0	322.67712	310.269	319.26117	310.3895	323.65927	310.29288	323.7628	310.3005	322.67972	310.29132	322.67972	310.27283	360.82373	341.5191	360.8221	341.5323	333.985	309.072	334.928	310.607	335.056	309.001	335.069	309.028	334.983	308.791	334.801	309.072	364.465	332.973	364.495	332.977
416.0	322.6782	310.27087	319.26154	310.3903	323.6607	310.29523	323.76428	310.3029	322.68076	310.29367	322.68076	310.27466	360.893	341.62265	360.89136	341.63596	334.001	309.081	334.945	310.619	335.073	309.01	335.086	309.038	334.999	308.801	334.817	309.082	364.546	333.036	364.576	333.04
417.0	322.67923	310.27274	319.26187	310.39108	323.66214	310.29752	323.76575	310.3052	322.6818	310.296	322.6818	310.2765	360.96204	341.726	360.96033	341.73944	334.017	309.091	334.963	310.63	335.089	309.02	335.102	309.047	335.016	308.81	334.834	309.091	364.627	333.099	364.657	333.103
418.0	322.68027	310.27457	319.2622	310.39185	323.66357	310.29977	323.7672	310.30753	322.6828	310.2983	322.6828	310.2783	361.0308	341.8292	361.02902	341.8427	334.033	309.1	334.98	310.641	335.105	309.029	335.119	309.056	335.032	308.819	334.85	309.101	364.708	333.162	364.738	333.166
419.0	322.6813	310.27637	319.26254	310.39264	323.66498	310.30203	323.76865	310.3098	322.68378	310.3006	322.68378	310.28006	361.0993	341.93216	361.0975	341.9458	334.049	309.11	334.997	310.652	335.122	309.038	335.135	309.065	335.048	308.828	334.866	309.11	364.789	333.225	364.819	333.229
420.0	322.6823	310.27814	319.26285	310.39337	323.66635	310.30426	323.77005	310.31207	322.68475	310.30286	322.68475	310.2818	361.16757	342.03494	361.16568	342.04868	334.065	309.119	335.015	310.663	335.138	309.048	335.151	309.075	335.065	308.838	334.882	309.12	364.869	333.288	364.899	333.292
421.0	322.6833	310.2799	319.26315	310.39413	323.66772	310.30646	323.77145	310.31433	322.68573	310.30508	322.68573	310.28354	361.23557	342.1375	361.23364	342.15137	334.081	309.129	335.032	310.674	335.154	309.057	335.167	309.084	335.081	308.847	334.898	309.129	364.95	333.351	364.98	333.355
422.0	322.68427	310.28165	319.2635	310.39487	323.66907	310.30862	323.77286	310.31653	322.68668	310.30728	322.68668	310.28525	361.3033	342.23987	361.3013	342.25385	334.097	309.138	335.049	310.686	335.17	309.066	335.183	309.093	335.097	308.856	334.914	309.139	365.03	333.413	365.06	333.418
423.0	322.68524	310.2834	319.2638	310.3956	323.67038	310.31076	323.7742	310.31873	322.68762	310.30948	322.68762	310.28696	361.3708	342.34204	361.36874	342.3561	334.112	309.148	335.066	310.697	335.186	309.075	335.199	309.102	335.112	308.865	334.93	309.148	365.11	333.476	365.14	333.48
424.0	322.6862	310.28506	319.2641	310.3963	323.6717	310.3129	323.77554	310.3209	322.68857	310.31165	322.68857	310.2886	361.43802	342.444	361.4359	342.4582	334.128	309.157	335.082	310.708	335.202	309.084	335.215	309.111	335.128	308.874	334.945	309.157	365.189	333.539	365.22	333.543
425.0	322.68713	310.28677	319.26437	310.397	323.673	310.315	323.7769	310.32303	322.68948	310.31378	322.68948	310.29028	361.505	342.54575	361.50284	342.56006	334.143	309.166	335.099	310.719	335.218	309.093	335.231	309.12	335.144	308.884	334.961	309.167	365.269	333.601	365.299	333.605
426.0	322.68805	310.28842	319.26468	310.3977	323.6743	310.31708	323.7782	310.32513	322.69037	310.3159	322.69037	310.2919	361.57175	342.6473	361.56952	342.6617	334.158	309.176	335.116	310.73	335.234	309.103	335.247	309.129	335.16	308.893	334.976	309.176	365.348	333.663	365.378	333.668
427.0	322.68896	310.29007	319.26495	310.39838	323.67554	310.31912	323.7795	310.32724	322.69125	310.318	322.69125	310.29352	361.6382	342.74866	361.63593	342.76318	334.174	309.185	335.132	310.741	335.249	309.112	335.262	309.138	335.175	308.902	334.992	309.185	365.427	333.726	365.458	333.73
428.0	322.68988	310.2917	319.26523	310.39905	323.6768	310.32117	323.7808	310.3293	322.69214	310.32004	322.69214	310.2951	361.70444	342.84982	361.7021	342.86444	334.189	309.194	335.149	310.751	335.265	309.121	335.278	309.147	335.191	308.911	335.007	309.195	365.506	333.788	365.537	333.793
429.0	322.69077	310.2933	319.2655	310.39972	323.678	310.32318	323.78204	310.33136	322.693	310.32208	322.693	310.2967	361.77042	342.95078	361.768	342.9655	334.204	309.203	335.165	310.762	335.281	309.13	335.293	309.156	335.206	308.92	335.023	309.204	365.585	333.85	365.615	333.855
430.0	322.69165	310.29486	319.26578	310.40036	323.67923	310.32516	323.7833	310.33337	322.69385	310.32413	322.69385	310.29825	361.83612	343.0515	361.83368	343.06635	334.219	309.213	335.182	310.773	335.296	309.139	335.309	309.165	335.221	308.929	335.038	309.213	365.663	333.912	365.694	333.917
431.0	322.6925	310.29645	319.26605	310.401	323.68042	310.32712	323.78452	310.3354	322.6947	310.3261	322.6947	310.29977	361.9016	343.15204	361.89908	343.167	334.234	309.222	335.198	310.784	335.311	309.148	335.324	309.174	335.237	308.938	335.053	309.222	365.742	333.974	365.772	333.979
432.0	322.69336	310.29797	319.26633	310.40164	323.6816	310.32907	323.78574	310.33737	322.69553	310.3281	322.69553	310.3013	361.96683	343.25238	361.96423	343.26746	334.249	309.231	335.214	310.795	335.327	309.157	335.339	309.183	335.252	308.947	335.068	309.231	365.82	334.036	365.851	334.041
433.0	322.6942	310.29953	319.26657	310.40225	323.68277	310.331	323.78693	310.33932	322.69635	310.33005	322.69635	310.3028	362.0318	343.3525	362.02914	343.36768	334.263	309.24	335.23	310.806	335.342	309.166	335.354	309.192	335.267	308.956	335.083	309.241	365.898	334.098	365.929	334.103
434.0	322.69504	310.30103	319.2668	310.40286	323.68393	310.3329	323.78812	310.34128	322.69714	310.33197	322.69714	310.3043	362.09653	343.45242	362.0938	343.4677	334.278	309.249	335.246	310.816	335.357	309.175	335.37	309.201	335.282	308.965	335.098	309.25	365.976	334.16	366.006	334.165
435.0	322.69586	310.30252	319.26706	310.40347	323.68506	310.33478	323.78928	310.34317	322.69794	310.3339	322.69794	310.30576	362.161	343.55215	362.15823	343.56754	334.293	309.258	335.262	310.827	335.372	309.184	335.385	309.21	335.297	308.974	335.113	309.259	366.053	334.222	366.084	334.227
436.0	322.69666	310.304	319.26733	310.40408	323.6862	310.33664	323.79044	310.3451	322.69873	310.3358	322.69873	310.3072	362.22522	343.65164	362.22238	343.66714	334.307	309.267	335.278	310.838	335.387	309.192	335.399	309.219	335.312	308.983	335.127	309.268	366.131	334.284	366.162	334.289
437.0	322.69745	310.30545	319.26755	310.40466	323.6873	310.33847	323.79156	310.34695	322.6995	310.33765	322.6995	310.30862	362.2892	343.75095	362.28632	343.76654	334.322	309.276	335.294	310.848	335.402	309.201	335.414	309.228	335.327	308.991	335.142	309.277	366.208	334.345	366.239	334.35
438.0	322.69824	310.3069	319.2678	310.40524	323.6884	310.3403	323.7927	310.34882	322.70026	310.3395	322.70026	310.31003	362.35294	343.85004	362.34998	343.86572	334.336	309.285	335.31	310.859	335.416	309.21	335.429	309.236	335.341	309	335.157	309.286	366.285	334.407	366.316	334.412
439.0	322.699	310.30832	319.26804	310.4058	323.68945	310.34207	323.7938	310.35065	322.70102	310.34134	322.70102	310.31143	362.41644	343.9489	362.4134	343.96472	334.35	309.294	335.325	310.87	335.431	309.219	335.444	309.245	335.356	309.009	335.171	309.295	366.362	334.468	366.393	334.474
440.0	322.69977	310.30972	319.26825	310.40637	323.69052	310.34387	323.7949	310.35245	322.70175	310.34314	322.70175	310.3128	362.47968	344.0476	362.4766	344.0635	334.365	309.303	335.341	310.88	335.446	309.228	335.458	309.254	335.37	309.018	335.185	309.304	366.438	334.53	366.47	334.535
441.0	322.70053	310.31113	319.2685	310.40692	323.69156	310.3456	323.796	310.35425	322.70248	310.34494	322.70248	310.31418	362.54266	344.14606	362.53952	344.16208	334.379	309.312	335.356	310.891	335.46	309.236	335.473	309.263	335.385	309.027	335.2	309.313	366.515	334.591	366.546	334.596
442.0	322.70126	310.31247	319.2687	310.40747	323.6926	310.34735	323.79706	310.35602	322.70322	310.3467	322.70322	310.31552	362.60544	344.24432	362.6022	344.26044	334.393	309.321	335.372	310.901	335.475	309.245	335.487	309.271	335.399	309.035	335.214	309.322	366.591	334.652	366.622	334.658
443.0	322.702	310.31384	319.26892	310.408	323.69363	310.3491	323.7981	310.35776	322.70392	310.34845	322.70392	310.31686	362.66794	344.34238	362.66464	344.35858	334.407	309.33	335.387	310.912	335.489	309.254	335.502	309.28	335.414	309.044	335.228	309.331	366.667	334.714	366.699	334.719
444.0	322.70273	310.3152	319.26913	310.4085	323.69464	310.35077	323.79913	310.3595	322.70462	310.35016	322.70462	310.31818	362.7302	344.44022	362.72687	344.4565	334.421	309.339	335.402	310.922	335.503	309.263	335.516	309.289	335.428	309.053	335.242	309.34	366.743	334.775	366.775	334.78
445.0	322.70343	310.3165	319.26935	310.40906	323.69562	310.35245	323.80017	310.3612	322.70532	310.3519	322.70532	310.31946	362.79224	344.53784	362.78882	344.55426	334.435	309.348	335.417	310.933	335.518	309.271	335.53	309.297	335.442	309.061	335.256	309.348	366.819	334.836	366.85	334.841
446.0	322.70413	310.3178	319.26956	310.40955	323.69662	310.35413	323.80118	310.3629	322.706	310.35358	322.706	310.32074	362.854	344.63525	362.85052	344.65176	334.449	309.357	335.432	310.943	335.532	309.28	335.544	309.306	335.456	309.07	335.27	309.357	366.895	334.897	366.926	334.903
447.0	322.70483	310.3191	319.26974	310.41006	323.69757	310.35574	323.8022	310.3646	322.70667	310.35526	322.70667	310.32202	362.91556	344.73245	362.91202	344.74905	334.462	309.365	335.448	310.953	335.546	309.288	335.559	309.314	335.47	309.079	335.284	309.366	366.97	334.958	367.001	334.964
448.0	322.7055	310.32037	319.26996	310.41055	323.69855	310.3574	323.80316	310.36624	322.70734	310.3569	322.70734	310.32327	362.97687	344.82944	362.97324	344.84616	334.476	309.374	335.462	310.964	335.56	309.297	335.573	309.323	335.484	309.087	335.298	309.375	367.045	335.019	367.077	335.025
449.0	322.70618	310.32166	319.27014	310.41104	323.6995	310.35898	323.80414	310.3679	322.70798	310.35852	322.70798	310.3245	363.03793	344.9262	363.03424	344.94305	334.49	309.383	335.477	310.974	335.574	309.306	335.586	309.331	335.498	309.096	335.312	309.384	367.12	335.08	367.152	335.085
450.0	322.70685	310.32288	319.27032	310.41153	323.7004	310.36057	323.80508	310.3695	322.70862	310.36014	322.70862	310.3257	363.09875	345.0228	363.09497	345.0397	334.503	309.392	335.492	310.984	335.588	309.314	335.6	309.34	335.512	309.104	335.326	309.392	367.195	335.14	367.227	335.146
451.0	322.7075	310.32413	319.27054	310.412	323.70132	310.36215	323.80603	310.3711	322.70926	310.36176	322.70926	310.32693	363.15933	345.11914	363.1555	345.13617	334.517	309.4	335.507	310.995	335.602	309.323	335.614	309.348	335.526	309.113	335.339	309.401	367.27	335.201	367.301	335.207
452.0	322.70813	310.32535	319.27072	310.41248	323.70224	310.3637	323.80698	310.37268	322.70987	310.36334	322.70987	310.32812	363.21967	345.21527	363.21576	345.23242	334.53	309.409	335.522	311.005	335.616	309.331	335.628	309.357	335.539	309.121	335.353	309.41	367.344	335.262	367.376	335.268
453.0	322.70877	310.32654	319.2709	310.41293	323.70316	310.36523	323.8079	310.37424	322.7105	310.3649	322.7105	310.3293	363.2798	345.31122	363.27582	345.32843	334.543	309.418	335.536	311.015	335.629	309.34	335.642	309.365	335.553	309.13	335.366	309.419	367.419	335.322	367.45	335.328
454.0	322.7094	310.32773	319.2711	310.4134	323.704	310.36676	323.8088	310.3758	322.71112	310.36642	322.71112	310.33047	363.33963	345.40692	363.3356	345.42426	334.556	309.426	335.551	311.025	335.643	309.348	335.655	309.374	335.566	309.138	335.38	309.427	367.493	335.383	367.525	335.389
455.0	322.71002	310.3289	319.27124	310.41382	323.7049	310.36826	323.80972	310.37732	322.7117	310.36795	322.7117	310.3316	363.39926	345.50244	363.39517	345.51987	334.57	309.435	335.565	311.036	335.656	309.357	335.669	309.382	335.58	309.147	335.393	309.436	367.567	335.443	367.599	335.449
456.0	322.71063	310.33005	319.27142	310.41428	323.70575	310.36972	323.8106	310.37885	322.7123	310.36948	322.7123	310.33276	363.45868	345.59772	363.4545	345.61523	334.583	309.444	335.58	311.046	335.67	309.365	335.682	309.39	335.593	309.155	335.406	309.444	367.64	335.503	367.672	335.51
457.0	322.71124	310.3312	319.2716	310.4147	323.7066	310.3712	323.81146	310.38034	322.7129	310.37097	322.7129	310.33386	363.51782	345.6928	363.51358	345.71042	334.596	309.452	335.594	311.056	335.683	309.373	335.695	309.399	335.607	309.164	335.42	309.453	367.714	335.564	367.746	335.57
458.0	322.71182	310.33234	319.27176	310.41513	323.70746	310.37265	323.81235	310.3818	322.71344	310.37244	322.71344	310.335	363.57675	345.78766	363.57245	345.80536	334.609	309.461	335.608	311.066	335.697	309.382	335.709	309.407	335.62	309.172	335.433	309.462	367.787	335.624	367.819	335.63
459.0	322.7124	310.33347	319.27194	310.41553	323.70828	310.37408	323.8132	310.38327	322.71402	310.3739	322.71402	310.3361	363.63544	345.8823	363.63107	345.90012	334.622	309.469	335.622	311.076	335.71	309.39	335.722	309.415	335.633	309.18	335.446	309.47	367.861	335.684	367.893	335.69
460.0	322.71298	310.33456	319.2721	310.41595	323.7091	310.3755	323.81403	310.38474	322.71457	310.37534	322.71457	310.33716	363.6939	345.97675	363.68945	345.99463	334.635	309.478	335.636	311.086	335.723	309.398	335.735	309.424	335.646	309.189	335.459	309.479	367.934	335.744	367.966	335.751
461.0	322.71356	310.33566	319.27225	310.41635	323.7099	310.3769	323.81485	310.38617	322.71512	310.37677	322.71512	310.33823	363.75214	346.07095	363.7476	346.08896	334.647	309.486	335.65	311.096	335.736	309.407	335.748	309.432	335.659	309.197	335.472	309.487	368.007	335.804	368.039	335.811
462.0	322.7141	310.33673	319.2724	310.41675	323.7107	310.37827	323.81567	310.38757	322.71567	310.37817	322.71567	310.33926	363.81012	346.16495	363.8055	346.18304	334.66	309.495	335.664	311.106	335.749	309.415	335.761	309.44	335.672	309.205	335.485	309.496	368.079	335.864	368.112	335.871
463.0	322.71466	310.3378	319.27255	310.41714	323.7115	310.37964	323.8165	310.38898	322.71622	310.37958	322.71622	310.34033	363.86786	346.25873	363.8632	346.27692	334.673	309.503	335.678	311.116	335.762	309.423	335.774	309.448	335.685	309.214	335.497	309.504	368.152	335.924	368.184	335.931
464.0	322.7152	310.33884	319.2727	310.41754	323.71225	310.381	323.8173	310.39035	322.71674	310.38095	322.71674	310.34134	363.92538	346.3523	363.92065	346.3706	334.685	309.512	335.692	311.126	335.775	309.432	335.787	309.457	335.698	309.222	335.51	309.513	368.224	335.984	368.257	335.99
465.0	322.71576	310.33987	319.27286	310.41794	323.713	310.38232	323.81808	310.39172	322.71725	310.38232	322.71725	310.34238	363.9827	346.44565	363.97787	346.46405	334.698	309.52	335.706	311.136	335.788	309.44	335.8	309.465	335.711	309.23	335.523	309.521	368.297	336.043	368.329	336.05
466.0	322.71628	310.3409	319.273	310.4183	323.71378	310.38367	323.81885	310.39307	322.71777	310.38367	322.71777	310.34338	364.03976	346.5388	364.03488	346.55728	334.71	309.528	335.72	311.146	335.801	309.448	335.813	309.473	335.723	309.238	335.535	309.529	368.369	336.103	368.401	336.11
467.0	322.7168	310.34192	319.27313	310.41867	323.7145	310.38498	323.8196	310.3944	322.71826	310.385	322.71826	310.34436	364.0966	346.6317	364.09164	346.6503	334.723	309.537	335.733	311.156	335.813	309.456	335.826	309.481	335.736	309.246	335.548	309.538	368.441	336.163	368.473	336.17
468.0	322.71732	310.34293	319.2733	310.41904	323.71524	310.38626	323.82037	310.39572	322.71878	310.38632	322.71878	310.34534	364.1532	346.72443	364.14816	346.74307	334.735	309.545	335.747	311.166	335.826	309.464	335.838	309.489	335.749	309.255	335.56	309.546	368.512	336.222	368.545	336.229
469.0	322.71783	310.3439	319.27344	310.4194	323.71597	310.38754	323.82114	310.39703	322.71927	310.38763	322.71927	310.3463	364.2096	346.8169	364.20447	346.83566	334.747	309.554	335.76	311.176	335.839	309.472	335.851	309.497	335.761	309.263	335.573	309.554	368.584	336.282	368.616	336.289
470.0	322.71832	310.34488	319.27356	310.41977	323.7167	310.3888	323.82187	310.39832	322.71973	310.38892	322.71973	310.34726	364.26575	346.90918	364.26056	346.92804	334.76	309.562	335.774	311.185	335.851	309.481	335.863	309.505	335.774	309.271	335.585	309.563	368.655	336.341	368.688	336.348
471.0	322.7188	310.34586	319.27368	310.4201	323.7174	310.39005	323.8226	310.3996	322.7202	310.3902	322.7202	310.3482	364.32166	347.00122	364.3164	347.02017	334.772	309.57	335.787	311.195	335.864	309.489	335.876	309.513	335.786	309.279	335.598	309.571	368.726	336.4	368.759	336.407
472.0	322.7193	310.3468	319.27383	310.42044	323.7181	310.3913	323.8233	310.40085	322.7207	310.39145	322.7207	310.34915	364.37735	347.09308	364.372	347.1121	334.784	309.578	335.801	311.205	335.876	309.497	335.888	309.521	335.798	309.287	335.61	309.579	368.797	336.46	368.83	336.467
473.0	322.7198	310.34775	319.27396	310.42078	323.71878	310.39252	323.82404	310.4021	322.72116	310.3927	322.72116	310.35007	364.43283	347.1847	364.42743	347.2038	334.796	309.587	335.814	311.215	335.889	309.505	335.9	309.529	335.811	309.295	335.622	309.587	368.868	336.519	368.901	336.526
474.0	322.72025	310.34866	319.27408	310.4211	323.71945	310.3937	323.82474	310.40335	322.72162	310.39392	322.72162	310.35098	364.48807	347.2761	364.48257	347.2953	334.808	309.595	335.827	311.224	335.901	309.513	335.913	309.537	335.823	309.303	335.634	309.596	368.939	336.578	368.972	336.585
475.0	322.7207	310.3496	319.2742	310.42145	323.72012	310.3949	323.8254	310.40457	322.72205	310.39514	322.72205	310.35187	364.5431	347.36725	364.53754	347.38657	334.82	309.603	335.84	311.234	335.913	309.521	335.925	309.545	335.835	309.311	335.646	309.604	369.009	336.637	369.042	336.644
476.0	322.72116	310.3505	319.27432	310.42178	323.7208	310.3961	323.82608	310.40576	322.7225	310.39633	322.7225	310.35275	364.5979	347.45822	364.59225	347.47763	334.832	309.611	335.853	311.244	335.925	309.529	335.937	309.553	335.847	309.319	335.658	309.612	369.08	336.696	369.112	336.703
477.0	322.72162	310.3514	319.27444	310.4221	323.72144	310.39725	323.82678	310.40695	322.72293	310.39752	322.72293	310.35364	364.65247	347.54898	364.64676	347.56845	334.843	309.619	335.866	311.253	335.937	309.537	335.949	309.561	335.859	309.327	335.67	309.62	369.15	336.755	369.183	336.762
478.0	322.72208	310.3523	319.27457	310.4224	323.72208	310.3984	323.82742	310.40814	322.72336	310.3987	322.72336	310.3545	364.70682	347.6395	364.70102	347.65906	334.855	309.627	335.879	311.263	335.949	309.545	335.961	309.569	335.871	309.335	335.682	309.628	369.22	336.814	369.253	336.821
479.0	322.7225	310.35315	319.2747	310.4227	323.72272	310.39954	323.8281	310.4093	322.7238	310.39987	322.7238	310.35535	364.76093	347.7298	364.75507	347.74945	334.867	309.636	335.892	311.273	335.961	309.553	335.973	309.577	335.883	309.343	335.694	309.636	369.29	336.872	369.323	336.88
480.0	322.72296	310.35403	319.2748	310.423	323.72336	310.40067	323.82874	310.41046	322.7242	310.401	322.7242	310.3562	364.81485	347.8199	364.8089	347.83963	334.878	309.644	335.905	311.282	335.973	309.56	335.985	309.585	335.895	309.351	335.705	309.645	369.359	336.931	369.392	336.939
481.0	322.7234	310.3549	319.2749	310.4233	323.72397	310.4018	323.82938	310.4116	322.72464	310.40213	322.72464	310.35703	364.86853	347.90976	364.86252	347.9296	334.89	309.652	335.918	311.292	335.985	309.568	335.997	309.593	335.907	309.359	335.717	309.653	369.429	336.99	369.462	336.998
482.0	322.7238	310.3557	319.27502	310.4236	323.72458	310.4029	323.83	310.41272	322.72504	310.40326	322.72504	310.35785	364.922	347.99942	364.9159	348.01935	334.901	309.66	335.93	311.301	335.997	309.576	336.009	309.6	335.918	309.367	335.729	309.661	369.498	337.048	369.531	337.056
483.0	322.7242	310.35657	319.27512	310.4239	323.7252	310.40396	323.83063	310.41382	322.72543	310.4044	322.72543	310.35867	364.97525	348.08884	364.96906	348.10886	334.913	309.668	335.943	311.311	336.009	309.584	336.02	309.608	335.93	309.375	335.74	309.669	369.567	337.107	369.601	337.115
484.0	322.7246	310.3574	319.27524	310.4242	323.72577	310.40506	323.83124	310.41492	322.72583	310.4055	322.72583	310.35947	365.02826	348.17807	365.022	348.19815	334.924	309.676	335.956	311.32	336.02	309.592	336.032	309.616	335.942	309.383	335.752	309.677	369.636	337.165	369.67	337.173
485.0	322.72504	310.3582	319.27533	310.42447	323.72635	310.4061	323.83185	310.41602	322.72623	310.40656	322.72623	310.36026	365.08105	348.26706	365.07474	348.28723	334.936	309.684	335.968	311.33	336.032	309.6	336.044	309.624	335.953	309.39	335.763	309.685	369.705	337.224	369.739	337.232
486.0	322.72543	310.359	319.27545	310.42474	323.72693	310.40717	323.83243	310.41708	322.72662	310.40762	322.72662	310.36105	365.13367	348.35583	365.12723	348.3761	334.947	309.692	335.981	311.339	336.044	309.607	336.055	309.632	335.965	309.398	335.775	309.693	369.774	337.282	369.807	337.29
487.0	322.72583	310.35977	319.27554	310.42502	323.7275	310.4082	323.833	310.41815	322.727	310.4087	322.727	310.36182	365.18604	348.4444	365.17953	348.46472	334.958	309.7	335.993	311.348	336.055	309.615	336.067	309.639	335.976	309.406	335.786	309.701	369.843	337.34	369.876	337.348
488.0	322.7262	310.36057	319.27563	310.4253	323.72806	310.4092	323.83362	310.4192	322.72736	310.40973	322.72736	310.36258	365.2382	348.5327	365.2316	348.55316	334.969	309.708	336.005	311.358	336.066	309.623	336.078	309.647	335.987	309.414	335.797	309.708	369.911	337.398	369.944	337.406
489.0	322.7266	310.36133	319.27573	310.42554	323.7286	310.41025	323.83417	310.42023	322.72772	310.41077	322.72772	310.36334	365.2901	348.62085	365.28345	348.64136	334.98	309.715	336.018	311.367	336.078	309.631	336.089	309.655	335.999	309.421	335.809	309.716	369.979	337.457	370.012	337.465
