stem:[h],0.2,0.1,0.05,0.01,0.005
stem:[\Vert p-p_h\Vert_{L^2}],1.40696e-05,1.91059e-06,2.46414e-07,1.95803e-09,2.45484e-10
stem:[\Vert u-u_h\Vert_{L^2}],5.16536e-05,7.12397e-06,9.13825e-07,7.16198e-09,8.98457e-10
