stem:[h],0.2,0.1,0.05,0.01,0.005
stem:[\Vert p-p_h\Vert_{L^2}],9.57939e-01,5.42923e-01,2.78594e-01,5.6416e-02,2.83271e-02
stem:[\Vert u-u_h\Vert_{L^2}],2.78314e-01,1.35505e-01,6.61506e-02,1.30739e-02,6.52889e-03
